@RELATION dataset_tsc_clean

@ATTRIBUTE idade {18_20,21_22,23_24,24}
@ATTRIBUTE altura {1_50_1_60,1_61_1_70,1_71_1_80,1_80}
@ATTRIBUTE sexo {feminino,masculino}
@ATTRIBUTE cor_da_pele {branca,negra,parda}
@ATTRIBUTE cabelo2 {cacheado_encaracolado,liso,ondulado}
@ATTRIBUTE usa_oculos_lente {nao,sim}
@ATTRIBUTE genero_de_filme_ou_serie_favorito {acao,animacao,aventura,comedia,drama,fantasia,ficcao_cientifica,romance,terror}
@ATTRIBUTE genero_estilo_musical_favorito {ecletico,eurobeat,forro,gospel,hip_hop,mpb,pop,rap,rock,sertanejo,trap_rap}
@ATTRIBUTE hobby_passatempo_favorito {assistir,assistir_series,cantar,desenhar,desenho,futebol,games,instrumentos,jiu_jitsu,jogar,jogar_jogos_virtuais,jogos,ler,procastinar_jogar_jogos,programar,sinuca,tocar_guitarra,treinar,ver_tiktok,videogame}
@ATTRIBUTE linguagem_de_programacao_favorita {c,go,java,lua,python,typescript}
@ATTRIBUTE sistema_operacional_desktop_utilizado {linux,windows}
@ATTRIBUTE sistema_operacional_mobile_utilizado {android,ios}
@ATTRIBUTE ide_ambiente_de_desenvolvimento_integrado_favorito {bloco_de_notas,intellij,nvim,visual_studio,vs_code}
@ATTRIBUTE navegador_favorito {brave,chrome,edge,firefox,opera_gx}
@ATTRIBUTE voce_quer_ser_qual_stack {back_end,front_end,full_stack}
@ATTRIBUTE vai_se_formar_esse_ano_por_voce_sem_contar_decisao_de_professores {nao,sim}
@ATTRIBUTE terminou_o_terceiro_ano_em_escola_publica {nao,sim}
@ATTRIBUTE ja_tem_uma_graduacao {nao,sim}
@ATTRIBUTE esta_em_um_relacionamento_afetivo_nao_e_estado_civil {nao,sim}
@ATTRIBUTE estagiando_trabalhando_qualquer_atividade_remunerada_conta_ex_bolsista_pet {nao,sim}
@ATTRIBUTE estado_civil {casado_a,solteiro_a}
@ATTRIBUTE cidade_de_origem_sem_estado {agua_doce,anapurus,araioses,cocal,distrito_federal,ilha_grande_pi,luzilandia,parnaiba,piracuruca,santa_quiteria_do_maranhao,sao_paulo,teresina,tutoia}
@ATTRIBUTE mora_com_os_pais {nao,sim}
@ATTRIBUTE tem_irmaos_irmas {nao,sim}
@ATTRIBUTE tem_animal_de_estimacao {nao,sim}
@ATTRIBUTE tem_cnh_carteira_nacional_de_habilitacao {nao,sim}
@ATTRIBUTE dirige_ou_pilota_veiculos_automotores {nao,sim}

@DATA
21_22,1_80,masculino,parda,cacheado_encaracolado,nao,drama,rock,tocar_guitarra,python,windows,android,vs_code,chrome,full_stack,sim,sim,nao,nao,sim,solteiro_a,teresina,sim,sim,nao,nao,nao
18_20,1_71_1_80,masculino,branca,ondulado,nao,fantasia,rock,jogar,typescript,windows,android,vs_code,brave,full_stack,sim,sim,nao,nao,sim,solteiro_a,luzilandia,nao,sim,sim,nao,nao
18_20,1_61_1_70,masculino,negra,cacheado_encaracolado,nao,animacao,rap,jiu_jitsu,typescript,windows,android,vs_code,brave,full_stack,sim,sim,nao,nao,sim,solteiro_a,ilha_grande_pi,sim,sim,sim,sim,sim
24,1_61_1_70,feminino,negra,ondulado,nao,romance,sertanejo,ler,python,linux,android,vs_code,firefox,front_end,sim,sim,nao,sim,sim,casado_a,parnaiba,nao,sim,sim,nao,sim
18_20,1_71_1_80,masculino,parda,ondulado,sim,aventura,rock,videogame,python,windows,ios,vs_code,chrome,full_stack,sim,nao,nao,nao,nao,solteiro_a,tutoia,nao,sim,nao,nao,nao
18_20,1_61_1_70,masculino,parda,liso,nao,acao,gospel,futebol,python,linux,android,vs_code,brave,full_stack,sim,nao,nao,sim,sim,solteiro_a,parnaiba,sim,sim,sim,sim,sim
23_24,1_61_1_70,masculino,negra,cacheado_encaracolado,nao,ficcao_cientifica,hip_hop,games,python,linux,android,vs_code,brave,full_stack,sim,sim,nao,sim,sim,solteiro_a,santa_quiteria_do_maranhao,nao,sim,nao,sim,sim
18_20,1_61_1_70,feminino,parda,liso,sim,drama,pop,ler,typescript,linux,android,vs_code,chrome,full_stack,sim,sim,nao,sim,sim,solteiro_a,cocal,nao,sim,sim,nao,sim
21_22,1_71_1_80,masculino,parda,ondulado,sim,terror,rock,jogar,python,windows,android,vs_code,chrome,front_end,sim,nao,nao,nao,sim,solteiro_a,parnaiba,sim,nao,sim,nao,nao
18_20,1_61_1_70,masculino,branca,liso,sim,ficcao_cientifica,mpb,jogar,python,linux,android,vs_code,edge,back_end,sim,nao,nao,sim,sim,solteiro_a,parnaiba,sim,sim,sim,sim,sim
24,1_71_1_80,masculino,negra,cacheado_encaracolado,nao,animacao,rock,jogos,typescript,windows,android,vs_code,brave,back_end,sim,sim,nao,nao,sim,solteiro_a,parnaiba,sim,sim,sim,nao,sim
21_22,1_80,masculino,negra,cacheado_encaracolado,nao,terror,rock,sinuca,go,linux,android,vs_code,chrome,back_end,nao,sim,nao,nao,sim,solteiro_a,araioses,nao,nao,nao,nao,sim
18_20,1_71_1_80,masculino,parda,ondulado,sim,acao,pop,programar,typescript,windows,android,vs_code,chrome,full_stack,sim,sim,nao,sim,sim,solteiro_a,parnaiba,sim,nao,sim,nao,nao
18_20,1_71_1_80,masculino,branca,ondulado,sim,acao,forro,ver_tiktok,python,windows,ios,vs_code,chrome,full_stack,sim,sim,nao,nao,sim,solteiro_a,parnaiba,sim,sim,sim,sim,sim
18_20,1_80,masculino,branca,liso,sim,ficcao_cientifica,mpb,desenho,python,windows,android,vs_code,edge,full_stack,sim,nao,nao,nao,nao,solteiro_a,parnaiba,sim,sim,sim,nao,nao
21_22,1_61_1_70,masculino,parda,ondulado,sim,animacao,rock,jogar_jogos_virtuais,python,windows,android,vs_code,brave,full_stack,sim,sim,nao,nao,sim,solteiro_a,parnaiba,sim,sim,sim,nao,sim
21_22,1_61_1_70,masculino,parda,ondulado,nao,acao,ecletico,treinar,python,windows,android,vs_code,brave,full_stack,sim,sim,nao,sim,sim,solteiro_a,parnaiba,sim,sim,sim,nao,sim
21_22,1_50_1_60,masculino,branca,cacheado_encaracolado,sim,terror,eurobeat,procastinar_jogar_jogos,lua,windows,android,bloco_de_notas,brave,full_stack,nao,sim,nao,nao,sim,solteiro_a,distrito_federal,sim,nao,sim,nao,nao
